booking_id,room_id,customer_id,check_in,check_out,actual_check_out,final_price,status,payment_status,notes,created_at,updated_at
B0214,R017,61,2025-08-28,2025-08-29,,1240749.0,completed,paid,,2025-08-28T10:00:00,2025-08-29T12:00:00
B0215,R020,111,2025-10-05,2025-10-06,2025-10-05,1268033.0,completed,paid,,2025-10-05T10:00:00,2025-10-06T12:00:00
B0216,R007,116,2025-08-19,2025-08-24,2025-08-25,5508285.0,completed,paid,,2025-08-19T10:00:00,2025-08-24T12:00:00
B0217,R007,29,2024-09-30,2024-10-01,,1232505.0,completed,paid,,2024-09-30T10:00:00,2024-10-01T12:00:00
B0218,R011,21,2024-12-21,2024-12-22,2024-12-21,1807428.0,completed,paid,,2024-12-21T10:00:00,2024-12-22T12:00:00
B0219,R013,100,2024-09-10,2024-09-13,,1978947.0,completed,paid,,2024-09-10T10:00:00,2024-09-13T12:00:00
B0220,R003,199,2025-01-18,2025-01-20,,1467722.0,completed,paid,,2025-01-18T10:00:00,2025-01-20T12:00:00
B0221,R009,158,2025-05-08,2025-05-13,,4814305.0,completed,paid,,2025-05-08T10:00:00,2025-05-13T12:00:00
B0222,R011,39,2024-03-02,2024-03-07,,5325005.0,completed,paid,,2024-03-02T10:00:00,2024-03-07T12:00:00
B0223,R018,3,2024-07-28,2024-08-02,2024-08-01,5517020.0,completed,paid,,2024-07-28T10:00:00,2024-08-02T12:00:00
B0224,R007,101,2025-09-17,2025-09-21,2025-09-22,3117468.0,completed,paid,,2025-09-17T10:00:00,2025-09-21T12:00:00
B0225,R008,147,2024-12-08,2024-12-09,,1224016.0,canceled,unpaid,,2024-12-08T10:00:00,2024-12-09T12:00:00
B0226,R014,82,2024-12-03,2024-12-07,,4879920.0,completed,paid,,2024-12-03T10:00:00,2024-12-07T12:00:00
B0227,R017,21,2024-11-26,2024-11-29,,2135184.0,completed,paid,,2024-11-26T10:00:00,2024-11-29T12:00:00
B0228,R011,151,2025-01-03,2025-01-06,,1936779.0,completed,paid,,2025-01-03T10:00:00,2025-01-06T12:00:00
B0229,R017,177,2025-01-31,2025-02-02,,3778444.0,completed,paid,,2025-01-31T10:00:00,2025-02-02T12:00:00
B0230,R011,125,2025-10-18,2025-10-20,,3441394.0,completed,paid,,2025-10-18T10:00:00,2025-10-20T12:00:00
B0231,R004,166,2024-10-04,2024-10-05,,1252789.0,completed,paid,,2024-10-04T10:00:00,2024-10-05T12:00:00
B0232,R006,91,2025-02-11,2025-02-14,2025-02-15,5412693.0,completed,paid,,2025-02-11T10:00:00,2025-02-14T12:00:00
B0233,R013,172,2025-10-20,2025-10-25,,5435685.0,completed,paid,,2025-10-20T10:00:00,2025-10-25T12:00:00
B0234,R001,166,2025-06-07,2025-06-09,,1126886.0,completed,paid,,2025-06-07T10:00:00,2025-06-09T12:00:00
B0235,R017,61,2025-10-25,2025-10-28,,4211124.0,completed,paid,,2025-10-25T10:00:00,2025-10-28T12:00:00
B0236,R004,183,2025-05-20,2025-05-22,,3378920.0,completed,paid,,2025-05-20T10:00:00,2025-05-22T12:00:00
B0237,R006,120,2024-02-29,2024-03-02,,3621232.0,completed,paid,,2024-02-29T10:00:00,2024-03-02T12:00:00
B0238,R003,7,2024-04-22,2024-04-27,,8529980.0,canceled,unpaid,,2024-04-22T10:00:00,2024-04-27T12:00:00
B0239,R006,48,2025-09-24,2025-09-29,,4340175.0,completed,paid,,2025-09-24T10:00:00,2025-09-29T12:00:00
B0240,R020,80,2024-12-20,2024-12-25,,8072470.0,completed,paid,,2024-12-20T10:00:00,2024-12-25T12:00:00
B0241,R006,110,2025-03-26,2025-03-31,,4426795.0,completed,paid,,2025-03-26T10:00:00,2025-03-31T12:00:00
B0242,R020,187,2024-01-19,2024-01-21,2024-01-20,1691500.0,completed,paid,,2024-01-19T10:00:00,2024-01-21T12:00:00
B0243,R012,110,2024-10-22,2024-10-26,,5100284.0,completed,paid,,2024-10-22T10:00:00,2024-10-26T12:00:00
B0244,R020,11,2025-12-04,2025-12-08,2025-12-07,5590536.0,completed,paid,,2025-12-04T10:00:00,2025-12-08T12:00:00
B0245,R010,40,2025-04-12,2025-04-15,,5339466.0,completed,paid,,2025-04-12T10:00:00,2025-04-15T12:00:00
B0246,R010,71,2025-11-29,2025-11-30,,1262740.0,completed,paid,,2025-11-29T10:00:00,2025-11-30T12:00:00
B0247,R011,135,2025-06-07,2025-06-08,2025-06-09,764913.0,canceled,unpaid,,2025-06-07T10:00:00,2025-06-08T12:00:00
B0248,R008,12,2024-03-18,2024-03-21,,2909046.0,completed,paid,,2024-03-18T10:00:00,2024-03-21T12:00:00
B0249,R002,181,2025-02-18,2025-02-21,,2770365.0,completed,paid,,2025-02-18T10:00:00,2025-02-21T12:00:00
B0250,R009,64,2025-09-12,2025-09-13,2025-09-12,1350574.0,completed,paid,,2025-09-12T10:00:00,2025-09-13T12:00:00
B0251,R001,199,2024-06-16,2024-06-18,2024-06-17,1921674.0,completed,paid,,2024-06-16T10:00:00,2024-06-18T12:00:00
B0252,R012,21,2025-12-05,2025-12-10,,7416975.0,completed,paid,,2025-12-05T10:00:00,2025-12-10T12:00:00
B0253,R006,115,2024-09-12,2024-09-17,,2779455.0,completed,paid,,2024-09-12T10:00:00,2024-09-17T12:00:00
B0254,R011,41,2024-11-19,2024-11-21,,1158954.0,completed,paid,,2024-11-19T10:00:00,2024-11-21T12:00:00
B0255,R006,128,2025-09-15,2025-09-19,,7601552.0,completed,paid,,2025-09-15T10:00:00,2025-09-19T12:00:00
B0256,R006,60,2025-04-27,2025-05-02,,8867000.0,completed,paid,,2025-04-27T10:00:00,2025-05-02T12:00:00
B0257,R012,52,2025-04-24,2025-04-27,,5431800.0,completed,paid,,2025-04-24T10:00:00,2025-04-27T12:00:00
B0258,R003,189,2024-10-01,2024-10-06,2024-10-07,9367205.0,canceled,unpaid,,2024-10-01T10:00:00,2024-10-06T12:00:00
B0259,R013,58,2024-05-16,2024-05-20,,6995308.0,completed,paid,,2024-05-16T10:00:00,2024-05-20T12:00:00
B0260,R018,166,2025-11-23,2025-11-27,,3021000.0,completed,paid,,2025-11-23T10:00:00,2025-11-27T12:00:00
B0261,R015,170,2025-05-16,2025-05-17,,1503012.0,completed,paid,,2025-05-16T10:00:00,2025-05-17T12:00:00
B0262,R012,149,2024-01-15,2024-01-18,,4080636.0,completed,paid,,2024-01-15T10:00:00,2024-01-18T12:00:00
B0263,R002,87,2024-04-16,2024-04-17,,1967139.0,completed,paid,,2024-04-16T10:00:00,2024-04-17T12:00:00
B0264,R015,140,2024-07-29,2024-08-03,2024-08-04,9593045.0,completed,paid,,2024-07-29T10:00:00,2024-08-03T12:00:00
B0265,R015,189,2025-07-15,2025-07-17,2025-07-16,2554664.0,completed,paid,,2025-07-15T10:00:00,2025-07-17T12:00:00
B0266,R005,10,2025-01-28,2025-02-02,,5750600.0,completed,paid,,2025-01-28T10:00:00,2025-02-02T12:00:00
B0267,R001,185,2025-05-14,2025-05-16,,2908662.0,completed,paid,,2025-05-14T10:00:00,2025-05-16T12:00:00
B0268,R005,76,2024-09-01,2024-09-06,,4845415.0,completed,paid,,2024-09-01T10:00:00,2024-09-06T12:00:00
B0269,R004,181,2025-08-17,2025-08-20,,5185698.0,completed,paid,,2025-08-17T10:00:00,2025-08-20T12:00:00
B0270,R006,135,2024-09-16,2024-09-19,,3704616.0,completed,paid,,2024-09-16T10:00:00,2024-09-19T12:00:00
B0271,R002,179,2025-08-19,2025-08-20,,535346.0,completed,paid,,2025-08-19T10:00:00,2025-08-20T12:00:00
B0272,R005,156,2024-02-18,2024-02-23,2024-02-22,7343095.0,completed,paid,,2024-02-18T10:00:00,2024-02-23T12:00:00
B0273,R005,7,2025-03-02,2025-03-07,,3872400.0,canceled,unpaid,,2025-03-02T10:00:00,2025-03-07T12:00:00
B0274,R011,93,2024-07-05,2024-07-06,,632111.0,completed,paid,,2024-07-05T10:00:00,2024-07-06T12:00:00
B0275,R006,92,2024-04-10,2024-04-12,,2359290.0,completed,paid,,2024-04-10T10:00:00,2024-04-12T12:00:00
B0276,R019,38,2025-10-06,2025-10-08,,1271486.0,completed,paid,,2025-10-06T10:00:00,2025-10-08T12:00:00
B0277,R006,191,2025-08-11,2025-08-12,2025-08-13,980796.0,completed,paid,,2025-08-11T10:00:00,2025-08-12T12:00:00
B0278,R009,173,2025-03-05,2025-03-06,,1933812.0,completed,paid,,2025-03-05T10:00:00,2025-03-06T12:00:00
B0279,R004,181,2025-08-11,2025-08-14,,3752568.0,completed,paid,,2025-08-11T10:00:00,2025-08-14T12:00:00
B0280,R003,198,2025-11-24,2025-11-25,2025-11-26,1400414.0,completed,paid,,2025-11-24T10:00:00,2025-11-25T12:00:00
B0281,R010,71,2024-10-09,2024-10-10,2024-10-09,1703996.0,completed,paid,,2024-10-09T10:00:00,2024-10-10T12:00:00
B0282,R006,60,2024-02-04,2024-02-05,,1169966.0,completed,paid,,2024-02-04T10:00:00,2024-02-05T12:00:00
B0283,R013,62,2025-04-18,2025-04-20,,2656806.0,completed,paid,,2025-04-18T10:00:00,2025-04-20T12:00:00
B0284,R008,179,2024-06-05,2024-06-08,2024-06-07,4907004.0,canceled,unpaid,,2024-06-05T10:00:00,2024-06-08T12:00:00
B0285,R012,106,2025-10-28,2025-10-29,,1904883.0,canceled,unpaid,,2025-10-28T10:00:00,2025-10-29T12:00:00
B0286,R007,22,2025-03-05,2025-03-08,,4913988.0,completed,paid,,2025-03-05T10:00:00,2025-03-08T12:00:00
B0287,R007,170,2024-10-01,2024-10-02,,664967.0,completed,paid,,2024-10-01T10:00:00,2024-10-02T12:00:00
B0288,R009,166,2024-03-12,2024-03-15,2024-03-14,2354010.0,completed,paid,,2024-03-12T10:00:00,2024-03-15T12:00:00
B0289,R011,190,2025-09-01,2025-09-04,,5875194.0,completed,paid,,2025-09-01T10:00:00,2025-09-04T12:00:00
B0290,R006,95,2024-02-01,2024-02-03,2024-02-04,1055794.0,completed,paid,,2024-02-01T10:00:00,2024-02-03T12:00:00
B0291,R020,107,2024-12-10,2024-12-11,,1355153.0,completed,paid,,2024-12-10T10:00:00,2024-12-11T12:00:00
B0292,R019,176,2025-03-18,2025-03-22,,4005656.0,completed,paid,,2025-03-18T10:00:00,2025-03-22T12:00:00
B0293,R002,100,2025-08-31,2025-09-05,,8404870.0,completed,paid,,2025-08-31T10:00:00,2025-09-05T12:00:00
B0294,R013,134,2025-02-22,2025-02-26,2025-02-27,2731168.0,canceled,unpaid,,2025-02-22T10:00:00,2025-02-26T12:00:00
B0295,R005,150,2025-10-29,2025-10-30,,745428.0,completed,paid,,2025-10-29T10:00:00,2025-10-30T12:00:00
B0296,R008,39,2025-04-03,2025-04-04,2025-04-03,1596552.0,completed,paid,,2025-04-03T10:00:00,2025-04-04T12:00:00
B0297,R011,66,2025-04-05,2025-04-09,,4668440.0,completed,paid,,2025-04-05T10:00:00,2025-04-09T12:00:00
B0298,R004,135,2024-11-08,2024-11-13,,8033020.0,canceled,unpaid,,2024-11-08T10:00:00,2024-11-13T12:00:00
B0299,R016,125,2025-05-05,2025-05-10,2025-05-09,7935780.0,completed,paid,,2025-05-05T10:00:00,2025-05-10T12:00:00
B0300,R014,15,2024-08-04,2024-08-07,,5972328.0,completed,paid,,2024-08-04T10:00:00,2024-08-07T12:00:00
B0301,R018,179,2025-07-24,2025-07-28,2025-07-29,3807956.0,completed,paid,,2025-07-24T10:00:00,2025-07-28T12:00:00
B0302,R006,126,2024-06-02,2024-06-05,,2264943.0,canceled,unpaid,,2024-06-02T10:00:00,2024-06-05T12:00:00
B0303,R019,74,2025-02-09,2025-02-11,2025-02-10,3625440.0,canceled,unpaid,,2025-02-09T10:00:00,2025-02-11T12:00:00
B0304,R015,106,2025-10-03,2025-10-07,,6927620.0,completed,paid,,2025-10-03T10:00:00,2025-10-07T12:00:00
B0305,R020,8,2025-05-03,2025-05-05,,1171338.0,completed,paid,,2025-05-03T10:00:00,2025-05-05T12:00:00
B0306,R010,100,2025-04-21,2025-04-23,2025-04-22,2936332.0,completed,paid,,2025-04-21T10:00:00,2025-04-23T12:00:00
B0307,R016,38,2025-07-11,2025-07-14,2025-07-13,5369775.0,completed,paid,,2025-07-11T10:00:00,2025-07-14T12:00:00
B0308,R009,161,2024-03-12,2024-03-17,,6522950.0,completed,paid,,2024-03-12T10:00:00,2024-03-17T12:00:00
B0309,R020,193,2025-04-20,2025-04-22,,1657806.0,completed,paid,,2025-04-20T10:00:00,2025-04-22T12:00:00
B0310,R009,153,2024-07-14,2024-07-15,,512301.0,canceled,unpaid,,2024-07-14T10:00:00,2024-07-15T12:00:00
B0311,R006,52,2025-10-23,2025-10-26,2025-10-25,2078601.0,completed,paid,,2025-10-23T10:00:00,2025-10-26T12:00:00
B0312,R008,116,2024-10-28,2024-10-29,,1934431.0,completed,paid,,2024-10-28T10:00:00,2024-10-29T12:00:00
B0313,R001,185,2025-01-07,2025-01-12,2025-01-11,6763860.0,completed,paid,,2025-01-07T10:00:00,2025-01-12T12:00:00
B0314,R009,169,2025-11-07,2025-11-09,,1180758.0,completed,paid,,2025-11-07T10:00:00,2025-11-09T12:00:00
B0315,R012,34,2025-10-25,2025-10-26,,1082182.0,completed,paid,,2025-10-25T10:00:00,2025-10-26T12:00:00
B0316,R014,173,2025-06-02,2025-06-07,,2588555.0,canceled,unpaid,,2025-06-02T10:00:00,2025-06-07T12:00:00
B0317,R015,29,2024-06-22,2024-06-24,,2892074.0,completed,paid,,2024-06-22T10:00:00,2024-06-24T12:00:00
B0318,R013,24,2024-08-20,2024-08-24,2024-08-25,3050300.0,canceled,unpaid,,2024-08-20T10:00:00,2024-08-24T12:00:00
B0319,R019,37,2025-12-09,2025-12-13,2025-12-12,6232936.0,completed,paid,,2025-12-09T10:00:00,2025-12-13T12:00:00
B0320,R020,142,2025-08-24,2025-08-29,,3338735.0,completed,paid,,2025-08-24T10:00:00,2025-08-29T12:00:00
B0321,R017,134,2024-10-26,2024-10-28,,1062814.0,completed,paid,,2024-10-26T10:00:00,2024-10-28T12:00:00
B0322,R001,91,2025-10-09,2025-10-13,,5228788.0,completed,paid,,2025-10-09T10:00:00,2025-10-13T12:00:00
B0323,R016,74,2025-07-19,2025-07-21,2025-07-20,3548432.0,completed,paid,,2025-07-19T10:00:00,2025-07-21T12:00:00
B0324,R014,82,2025-12-17,2025-12-20,2025-12-21,3614886.0,completed,paid,,2025-12-17T10:00:00,2025-12-20T12:00:00
B0325,R007,164,2025-03-17,2025-03-18,,1732905.0,completed,paid,,2025-03-17T10:00:00,2025-03-18T12:00:00
B0326,R003,197,2024-12-23,2024-12-24,,530756.0,completed,paid,,2024-12-23T10:00:00,2024-12-24T12:00:00
B0327,R012,146,2024-02-09,2024-02-14,,6132365.0,completed,paid,,2024-02-09T10:00:00,2024-02-14T12:00:00
B0328,R015,155,2025-04-03,2025-04-07,2025-04-08,2259216.0,canceled,unpaid,,2025-04-03T10:00:00,2025-04-07T12:00:00
B0329,R005,22,2025-04-19,2025-04-22,,1884804.0,canceled,unpaid,,2025-04-19T10:00:00,2025-04-22T12:00:00
B0330,R018,95,2024-11-29,2024-12-03,2024-12-02,3485740.0,completed,paid,,2024-11-29T10:00:00,2024-12-03T12:00:00
B0331,R017,134,2024-06-03,2024-06-06,,4207440.0,completed,paid,,2024-06-03T10:00:00,2024-06-06T12:00:00
B0332,R012,42,2024-03-14,2024-03-18,,5208420.0,completed,paid,,2024-03-14T10:00:00,2024-03-18T12:00:00
B0333,R009,163,2024-12-06,2024-12-11,,8949195.0,completed,paid,,2024-12-06T10:00:00,2024-12-11T12:00:00
B0334,R004,189,2024-07-11,2024-07-12,,899679.0,completed,paid,,2024-07-11T10:00:00,2024-07-12T12:00:00
B0335,R017,82,2024-05-14,2024-05-19,,7585215.0,completed,paid,,2024-05-14T10:00:00,2024-05-19T12:00:00
B0336,R001,12,2025-06-15,2025-06-20,,4158140.0,canceled,unpaid,,2025-06-15T10:00:00,2025-06-20T12:00:00
B0337,R008,49,2025-09-17,2025-09-22,2025-09-21,2545180.0,completed,paid,,2025-09-17T10:00:00,2025-09-22T12:00:00
B0338,R006,163,2025-08-17,2025-08-20,,4901583.0,completed,paid,,2025-08-17T10:00:00,2025-08-20T12:00:00
B0339,R005,161,2025-02-23,2025-02-25,2025-02-26,2511420.0,completed,paid,,2025-02-23T10:00:00,2025-02-25T12:00:00
B0340,R017,135,2024-10-24,2024-10-26,,1840580.0,completed,paid,,2024-10-24T10:00:00,2024-10-26T12:00:00
B0341,R005,31,2024-07-13,2024-07-18,2024-07-19,9357245.0,canceled,unpaid,,2024-07-13T10:00:00,2024-07-18T12:00:00
B0342,R009,152,2024-08-04,2024-08-07,,3774354.0,completed,paid,,2024-08-04T10:00:00,2024-08-07T12:00:00
B0343,R010,3,2025-09-22,2025-09-24,,3555438.0,completed,paid,,2025-09-22T10:00:00,2025-09-24T12:00:00
B0344,R020,190,2024-11-24,2024-11-25,,1354867.0,canceled,unpaid,,2024-11-24T10:00:00,2024-11-25T12:00:00
B0345,R001,52,2024-08-21,2024-08-26,,6576585.0,completed,paid,,2024-08-21T10:00:00,2024-08-26T12:00:00
B0346,R009,15,2025-06-26,2025-06-27,,1450392.0,completed,paid,,2025-06-26T10:00:00,2025-06-27T12:00:00
B0347,R016,94,2025-06-10,2025-06-11,,1740123.0,completed,paid,,2025-06-10T10:00:00,2025-06-11T12:00:00
B0348,R020,198,2024-06-28,2024-07-01,,3117060.0,completed,paid,,2024-06-28T10:00:00,2024-07-01T12:00:00
B0349,R009,60,2024-01-24,2024-01-25,2024-01-24,595748.0,completed,paid,,2024-01-24T10:00:00,2024-01-25T12:00:00
B0350,R007,76,2025-11-14,2025-11-18,2025-11-19,3651296.0,completed,paid,,2025-11-14T10:00:00,2025-11-18T12:00:00
B0351,R005,34,2024-03-02,2024-03-06,,6822528.0,completed,paid,,2024-03-02T10:00:00,2024-03-06T12:00:00
B0352,R003,53,2025-03-12,2025-03-14,,3876588.0,completed,paid,,2025-03-12T10:00:00,2025-03-14T12:00:00
B0353,R010,18,2025-12-24,2025-12-25,2025-12-24,1958305.0,canceled,unpaid,,2025-12-24T10:00:00,2025-12-25T12:00:00
B0354,R015,81,2024-07-19,2024-07-21,2024-07-22,3950774.0,completed,paid,,2024-07-19T10:00:00,2024-07-21T12:00:00
B0355,R015,60,2025-01-29,2025-01-31,,1292316.0,completed,paid,,2025-01-29T10:00:00,2025-01-31T12:00:00
B0356,R005,107,2024-02-07,2024-02-10,,2464497.0,completed,paid,,2024-02-07T10:00:00,2024-02-10T12:00:00
B0357,R020,68,2025-05-27,2025-05-29,2025-05-28,3953702.0,completed,paid,,2025-05-27T10:00:00,2025-05-29T12:00:00
B0358,R008,199,2024-09-27,2024-09-28,2024-09-27,505798.0,completed,paid,,2024-09-27T10:00:00,2024-09-28T12:00:00
B0359,R001,161,2024-08-30,2024-09-03,,6639060.0,completed,paid,,2024-08-30T10:00:00,2024-09-03T12:00:00
B0360,R001,87,2024-04-18,2024-04-19,,732732.0,completed,paid,,2024-04-18T10:00:00,2024-04-19T12:00:00
B0361,R006,116,2024-04-13,2024-04-16,,4482108.0,completed,paid,,2024-04-13T10:00:00,2024-04-16T12:00:00
B0362,R016,26,2025-05-30,2025-06-03,2025-06-04,7860752.0,completed,paid,,2025-05-30T10:00:00,2025-06-03T12:00:00
B0363,R009,66,2024-03-30,2024-04-02,,4309164.0,completed,paid,,2024-03-30T10:00:00,2024-04-02T12:00:00
B0364,R001,93,2024-05-29,2024-05-31,2024-05-30,3873168.0,completed,paid,,2024-05-29T10:00:00,2024-05-31T12:00:00
B0365,R017,120,2024-12-24,2024-12-27,,1891887.0,completed,paid,,2024-12-24T10:00:00,2024-12-27T12:00:00
B0366,R014,48,2024-12-07,2024-12-10,,4658607.0,completed,paid,,2024-12-07T10:00:00,2024-12-10T12:00:00
B0367,R018,181,2025-05-25,2025-05-29,,4402436.0,completed,paid,,2025-05-25T10:00:00,2025-05-29T12:00:00
B0368,R002,171,2025-10-26,2025-10-27,,934773.0,completed,paid,,2025-10-26T10:00:00,2025-10-27T12:00:00
B0369,R018,15,2025-06-19,2025-06-23,2025-06-24,5173156.0,completed,paid,,2025-06-19T10:00:00,2025-06-23T12:00:00
B0370,R014,47,2024-03-01,2024-03-04,,5056050.0,completed,paid,,2024-03-01T10:00:00,2024-03-04T12:00:00
B0371,R007,170,2024-07-17,2024-07-19,,1580136.0,canceled,unpaid,,2024-07-17T10:00:00,2024-07-19T12:00:00
B0372,R001,199,2024-11-30,2024-12-02,,1586988.0,completed,paid,,2024-11-30T10:00:00,2024-12-02T12:00:00
B0373,R018,78,2025-09-08,2025-09-10,2025-09-11,2800040.0,completed,paid,,2025-09-08T10:00:00,2025-09-10T12:00:00
B0374,R020,47,2025-09-09,2025-09-13,2025-09-14,4660152.0,completed,paid,,2025-09-09T10:00:00,2025-09-13T12:00:00
B0375,R006,186,2025-04-07,2025-04-09,2025-04-10,1521622.0,canceled,unpaid,,2025-04-07T10:00:00,2025-04-09T12:00:00
B0376,R012,92,2024-02-13,2024-02-15,,1814476.0,completed,paid,,2024-02-13T10:00:00,2024-02-15T12:00:00
B0377,R016,118,2024-11-11,2024-11-15,2024-11-16,4822736.0,completed,paid,,2024-11-11T10:00:00,2024-11-15T12:00:00
B0378,R006,16,2025-09-24,2025-09-28,,7417928.0,completed,paid,,2025-09-24T10:00:00,2025-09-28T12:00:00
B0379,R015,140,2025-08-30,2025-09-02,,2150880.0,completed,paid,,2025-08-30T10:00:00,2025-09-02T12:00:00
B0380,R003,4,2024-08-30,2024-09-02,,3962334.0,completed,paid,,2024-08-30T10:00:00,2024-09-02T12:00:00
B0381,R013,142,2025-07-28,2025-07-30,,1342492.0,completed,paid,,2025-07-28T10:00:00,2025-07-30T12:00:00
B0382,R006,71,2024-07-24,2024-07-26,,2010938.0,completed,paid,,2024-07-24T10:00:00,2024-07-26T12:00:00
B0383,R014,73,2025-02-13,2025-02-18,,4725930.0,completed,paid,,2025-02-13T10:00:00,2025-02-18T12:00:00
B0384,R011,23,2025-07-16,2025-07-19,,1660716.0,completed,paid,,2025-07-16T10:00:00,2025-07-19T12:00:00
B0385,R006,41,2025-01-17,2025-01-19,,3849650.0,completed,paid,,2025-01-17T10:00:00,2025-01-19T12:00:00
B0386,R005,15,2024-07-08,2024-07-09,,705164.0,canceled,unpaid,,2024-07-08T10:00:00,2024-07-09T12:00:00
B0387,R014,118,2024-04-22,2024-04-26,,7570232.0,completed,paid,,2024-04-22T10:00:00,2024-04-26T12:00:00
B0388,R008,188,2025-11-19,2025-11-22,2025-11-21,4139040.0,completed,paid,,2025-11-19T10:00:00,2025-11-22T12:00:00
B0389,R002,135,2024-08-25,2024-08-27,,3395226.0,completed,paid,,2024-08-25T10:00:00,2024-08-27T12:00:00
B0390,R007,186,2024-09-14,2024-09-16,,3258548.0,completed,paid,,2024-09-14T10:00:00,2024-09-16T12:00:00
B0391,R004,29,2024-02-03,2024-02-08,2024-02-07,7740845.0,completed,paid,,2024-02-03T10:00:00,2024-02-08T12:00:00
B0392,R001,33,2024-06-21,2024-06-22,2024-06-23,585505.0,completed,paid,,2024-06-21T10:00:00,2024-06-22T12:00:00
B0393,R017,131,2025-01-13,2025-01-17,,6924244.0,completed,paid,,2025-01-13T10:00:00,2025-01-17T12:00:00
B0394,R017,87,2025-04-04,2025-04-08,,6120004.0,completed,paid,,2025-04-04T10:00:00,2025-04-08T12:00:00
B0395,R020,98,2024-07-25,2024-07-26,2024-07-25,915275.0,completed,paid,,2024-07-25T10:00:00,2024-07-26T12:00:00
B0396,R014,184,2024-09-07,2024-09-12,,3185130.0,completed,paid,,2024-09-07T10:00:00,2024-09-12T12:00:00
B0397,R006,3,2025-04-22,2025-04-25,,2664618.0,canceled,unpaid,,2025-04-22T10:00:00,2025-04-25T12:00:00
B0398,R010,128,2025-12-17,2025-12-21,,2925792.0,canceled,unpaid,,2025-12-17T10:00:00,2025-12-21T12:00:00
B0399,R006,163,2024-11-30,2024-12-05,,6614145.0,completed,paid,,2024-11-30T10:00:00,2024-12-05T12:00:00
B0400,R003,44,2025-05-12,2025-05-16,,5829364.0,completed,paid,,2025-05-12T10:00:00,2025-05-16T12:00:00
B0401,R019,168,2025-08-12,2025-08-16,2025-08-17,5447784.0,completed,paid,,2025-08-12T10:00:00,2025-08-16T12:00:00
B0402,R011,170,2024-12-13,2024-12-17,,2950460.0,completed,paid,,2024-12-13T10:00:00,2024-12-17T12:00:00
B0403,R004,30,2025-10-12,2025-10-15,,3447837.0,completed,paid,,2025-10-12T10:00:00,2025-10-15T12:00:00
B0404,R016,52,2025-07-27,2025-08-01,,6510355.0,completed,paid,,2025-07-27T10:00:00,2025-08-01T12:00:00
B0405,R018,65,2025-08-21,2025-08-24,2025-08-25,2266245.0,completed,paid,,2025-08-21T10:00:00,2025-08-24T12:00:00
B0406,R018,75,2025-07-15,2025-07-18,,5446017.0,completed,paid,,2025-07-15T10:00:00,2025-07-18T12:00:00
B0407,R004,187,2024-04-13,2024-04-16,,4063755.0,completed,paid,,2024-04-13T10:00:00,2024-04-16T12:00:00
B0408,R015,116,2025-12-13,2025-12-17,,4253772.0,canceled,unpaid,,2025-12-13T10:00:00,2025-12-17T12:00:00
B0409,R011,4,2025-02-19,2025-02-23,,2131544.0,completed,paid,,2025-02-19T10:00:00,2025-02-23T12:00:00
B0410,R016,166,2024-10-29,2024-10-30,2024-10-31,1651561.0,completed,paid,,2024-10-29T10:00:00,2024-10-30T12:00:00
B0411,R008,169,2024-11-04,2024-11-08,,2185808.0,completed,paid,,2024-11-04T10:00:00,2024-11-08T12:00:00
B0412,R018,108,2024-06-14,2024-06-17,,3750375.0,completed,paid,,2024-06-14T10:00:00,2024-06-17T12:00:00
B0413,R014,93,2024-09-08,2024-09-13,2024-09-14,6837070.0,canceled,unpaid,,2024-09-08T10:00:00,2024-09-13T12:00:00
B0414,R009,32,2025-09-13,2025-09-16,,4824990.0,completed,paid,,2025-09-13T10:00:00,2025-09-16T12:00:00
B0415,R019,159,2025-01-14,2025-01-15,,1514702.0,completed,paid,,2025-01-14T10:00:00,2025-01-15T12:00:00
B0416,R001,116,2025-06-05,2025-06-10,,4079915.0,canceled,unpaid,,2025-06-05T10:00:00,2025-06-10T12:00:00
B0417,R006,107,2025-05-27,2025-05-29,2025-05-30,3640962.0,completed,paid,,2025-05-27T10:00:00,2025-05-29T12:00:00
B0418,R012,112,2025-03-26,2025-03-27,,1066067.0,canceled,unpaid,,2025-03-26T10:00:00,2025-03-27T12:00:00
B0419,R007,188,2024-03-22,2024-03-25,,4327062.0,completed,paid,,2024-03-22T10:00:00,2024-03-25T12:00:00
B0420,R003,65,2025-05-05,2025-05-09,2025-05-10,6799912.0,completed,paid,,2025-05-05T10:00:00,2025-05-09T12:00:00
B0421,R007,3,2025-12-22,2025-12-27,,7410445.0,completed,paid,,2025-12-22T10:00:00,2025-12-27T12:00:00
B0422,R001,168,2024-06-24,2024-06-26,,1491044.0,completed,paid,,2024-06-24T10:00:00,2024-06-26T12:00:00
B0423,R005,31,2024-12-13,2024-12-16,2024-12-15,4215831.0,completed,paid,,2024-12-13T10:00:00,2024-12-16T12:00:00
B0424,R001,185,2024-03-07,2024-03-10,2024-03-09,4221087.0,completed,paid,,2024-03-07T10:00:00,2024-03-10T12:00:00
B0425,R007,130,2024-06-15,2024-06-17,,1235844.0,completed,paid,,2024-06-15T10:00:00,2024-06-17T12:00:00
B0426,R003,50,2024-09-08,2024-09-12,,4852788.0,completed,paid,,2024-09-08T10:00:00,2024-09-12T12:00:00
B0427,R017,160,2024-11-28,2024-12-02,2024-12-01,2698476.0,completed,paid,,2024-11-28T10:00:00,2024-12-02T12:00:00
